index	identifier	sum_stat	mark	detail	target	assay	feature_names
1449	ENCFF218VMU	mean	CHIP	H3K9me3:heart left ventricle female adult (53 years)	H3K9me3	Histone ChIP-seq	f_1450
1450	ENCFF034RXK	mean	CHIP	H3K27ac:stomach male adult (34 years)	H3K27ac	Histone ChIP-seq	f_1451
1451	ENCFF203SHR	mean	CHIP	H3K4me2:skeletal muscle satellite cell female adult originated from mesodermal cell	H3K4me2	Histone ChIP-seq	f_1452
1452	ENCFF663RRL	mean	CHIP	H3K27ac:IMR-90	H3K27ac	Histone ChIP-seq	f_1453
1453	ENCFF268COV	mean	CHIP	CTCF:esophagus squamous epithelium female adult (51 year)	CTCF	TF ChIP-seq	f_1454
1454	ENCFF828RQS	mean	CHIP	H3K9me3:stomach smooth muscle female adult (84 years)	H3K9me3	Histone ChIP-seq	f_1455
1455	ENCFF731PKC	mean	CHIP	H3K4me3:mesenchymal stem cell originated from adipose tissue	H3K4me3	Histone ChIP-seq	f_1456
1456	ENCFF033HWS	mean	CHIP	H3K27ac:muscle layer of colon female adult (56 years)	H3K27ac	Histone ChIP-seq	f_1457
1457	ENCFF357KCF	mean	CHIP	ZEB2:K562	ZEB2	TF ChIP-seq	f_1458
1458	ENCFF432HNP	mean	CHIP	eGFP-ZBTB10:HEK293 genetically modified using site-specific recombination originated from HEK293	eGFP-ZBTB10	TF ChIP-seq	f_1459
1459	ENCFF562RUL	mean	CHIP	H4K8ac:IMR-90	H4K8ac	Histone ChIP-seq	f_1460
1460	ENCFF412AZH	mean	CHIP	CTCF:omental fat pad male adult (54 years)	CTCF	TF ChIP-seq	f_1461
1461	ENCFF896NIM	mean	CHIP	H3K9me3:mucosa of stomach male adult (59 years)	H3K9me3	Histone ChIP-seq	f_1462
1462	ENCFF411ROG	mean	CHIP	eGFP-ID3:K562 genetically modified using stable transfection	eGFP-ID3	TF ChIP-seq	f_1463
1463	ENCFF852DRP	mean	CHIP	H3K4me3:OCI-LY7	H3K4me3	Histone ChIP-seq	f_1464
1464	ENCFF506BWA	mean	CHIP	H3K9me3:Peyer's patch female adult (53 years)	H3K9me3	Histone ChIP-seq	f_1465
1465	ENCFF843LVW	mean	CHIP	H3K9me3:B cell female adult (43 years)	H3K9me3	Histone ChIP-seq	f_1466
1466	ENCFF295RJI	mean	CHIP	H3K36me3:trophoblast cell originated from H1-hESC	H3K36me3	Histone ChIP-seq	f_1467
1467	ENCFF249QCY	mean	CHIP	eGFP-KLF10:HEK293 genetically modified using site-specific recombination originated from HEK293	eGFP-KLF10	TF ChIP-seq	f_1468
1468	ENCFF802IHY	mean	CHIP	H3K9ac:mesenchymal stem cell originated from adipose tissue	H3K9ac	Histone ChIP-seq	f_1469
1469	ENCFF099BUE	mean	CHIP	NEUROD1:MCF-7	NEUROD1	TF ChIP-seq	f_1470
1470	ENCFF526VJO	mean	CHIP	H3K27ac:CD8-positive, alpha-beta T cell male adult (21 year)	H3K27ac	Histone ChIP-seq	f_1471
1471	ENCFF676VSY	mean	CHIP	H3K27ac:GM23248	H3K27ac	Histone ChIP-seq	f_1472
1472	ENCFF529XBR	mean	CHIP	3xFLAG-KLF16:HepG2 genetically modified using CRISPR	3xFLAG-KLF16	TF ChIP-seq	f_1473
1473	ENCFF039XKQ	mean	CHIP	HSF1:GM12878	HSF1	TF ChIP-seq	f_1474
1474	ENCFF076DVZ	mean	CHIP	H3K4me1:kidney male adult (67 years)	H3K4me1	Histone ChIP-seq	f_1475
1475	ENCFF505ACR	mean	CHIP	RCOR1:SK-N-SH	RCOR1	TF ChIP-seq	f_1476
1476	ENCFF249LCG	mean	CHIP	3xFLAG-ZNF614:HepG2 genetically modified using CRISPR	3xFLAG-ZNF614	TF ChIP-seq	f_1477
1477	ENCFF339XUQ	mean	CHIP	eGFP-ZNF2:HEK293 genetically modified using site-specific recombination originated from HEK293	eGFP-ZNF2	TF ChIP-seq	f_1478
1478	ENCFF845OGQ	mean	CHIP	H3K4me1:NCI-H929	H3K4me1	Histone ChIP-seq	f_1479
1479	ENCFF735XKQ	mean	CHIP	H3K36me3:muscle layer of colon female adult (56 years)	H3K36me3	Histone ChIP-seq	f_1480
1480	ENCFF414NQV	mean	CHIP	H3K36me3:angular gyrus female adult (75 years)	H3K36me3	Histone ChIP-seq	f_1481
1481	ENCFF743KWB	mean	CHIP	H3K27ac:subcutaneous abdominal adipose tissue nuclear fraction female adult (49 years)	H3K27ac	Histone ChIP-seq	f_1482
1482	ENCFF979RNH	mean	CHIP	ZNF407:K562	ZNF407	TF ChIP-seq	f_1483
1483	ENCFF579ALH	mean	CHIP	eGFP-ZNF175:K562 genetically modified using CRISPR	eGFP-ZNF175	TF ChIP-seq	f_1484
1484	ENCFF325XXG	mean	CHIP	H3K27me3:common myeloid progenitor, CD34-positive male adult (36 years)	H3K27me3	Histone ChIP-seq	f_1485
1485	ENCFF793OOX	mean	CHIP	eGFP-ZNF585B:HEK293 genetically modified using site-specific recombination originated from HEK293	eGFP-ZNF585B	TF ChIP-seq	f_1486
1486	ENCFF692FAL	mean	CHIP	H3K27me3:CD4-positive, alpha-beta memory T cell	H3K27me3	Histone ChIP-seq	f_1487
1487	ENCFF601NLG	mean	CHIP	H3K27ac:CD14-positive monocyte male adult (21 year)	H3K27ac	Histone ChIP-seq	f_1488
1488	ENCFF301WTK	mean	CHIP	H3K27ac:mesenchymal stem cell originated from H1-hESC	H3K27ac	Histone ChIP-seq	f_1489
1489	ENCFF103CRE	mean	CHIP	H3K4me1:foreskin keratinocyte male newborn	H3K4me1	Histone ChIP-seq	f_1490
1490	ENCFF117XJK	mean	CHIP	CTCF:adrenal gland female adult (51 year)	CTCF	TF ChIP-seq	f_1491
1491	ENCFF854OYD	mean	CHIP	HNRNPK:K562	HNRNPK	TF ChIP-seq	f_1492
1492	ENCFF194NPN	mean	CHIP	H3K27ac:temporal lobe male adult (81 year)	H3K27ac	Histone ChIP-seq	f_1493
1493	ENCFF710EKC	mean	CHIP	ATF7:GM12878	ATF7	TF ChIP-seq	f_1494
1494	ENCFF477GTH	mean	CHIP	H3K27ac:thoracic aorta male adult (37 years)	H3K27ac	Histone ChIP-seq	f_1495
1495	ENCFF285DLJ	mean	CHIP	BCLAF1:HepG2	BCLAF1	TF ChIP-seq	f_1496
1496	ENCFF662VRT	mean	CHIP	TAF1:liver female child (4 years)	TAF1	TF ChIP-seq	f_1497
1497	ENCFF448PHV	mean	CHIP	H3K4me3:mammary epithelial cell female adult (50 years)	H3K4me3	Histone ChIP-seq	f_1498
1498	ENCFF436YJO	mean	CHIP	TARDBP:GM12878	TARDBP	TF ChIP-seq	f_1499
1499	ENCFF186CZK	mean	CHIP	H3K27ac:middle frontal area 46 female adult (75 years)	H3K27ac	Histone ChIP-seq	f_1500
1500	ENCFF649GIG	mean	CHIP	CUX1:MCF-7	CUX1	TF ChIP-seq	f_1501
1501	ENCFF791FIG	mean	CHIP	eGFP-TFDP1:K562 genetically modified using stable transfection	eGFP-TFDP1	TF ChIP-seq	f_1502
1502	ENCFF820KSO	mean	CHIP	eGFP-ZNF600:HEK293 genetically modified using site-specific recombination originated from HEK293	eGFP-ZNF600	TF ChIP-seq	f_1503
1503	ENCFF556OUI	mean	CHIP	H3K9me2:SU-DHL-6	H3K9me2	Histone ChIP-seq	f_1504
1504	ENCFF498EZK	mean	CHIP	ZNF579:MCF-7	ZNF579	TF ChIP-seq	f_1505
1505	ENCFF970ISQ	mean	CHIP	eGFP-ZNF148:K562 genetically modified using stable transfection	eGFP-ZNF148	TF ChIP-seq	f_1506
1506	ENCFF707FCC	mean	CHIP	H3K9me3:brain female embryo (120 days)	H3K9me3	Histone ChIP-seq	f_1507
1507	ENCFF107XFS	mean	CHIP	PLRG1:HepG2	PLRG1	TF ChIP-seq	f_1508
1508	ENCFF567JHI	mean	CHIP	3xFLAG-SP5:HepG2 genetically modified using CRISPR	3xFLAG-SP5	TF ChIP-seq	f_1509
1509	ENCFF372YWG	mean	CHIP	H3K4me3:H1-hESC	H3K4me3	Histone ChIP-seq	f_1510
1510	ENCFF439FBA	mean	CHIP	eGFP-ZNF10:HEK293 genetically modified using site-specific recombination originated from HEK293	eGFP-ZNF10	TF ChIP-seq	f_1511
1511	ENCFF308QXV	mean	CHIP	H3K36me3:foreskin fibroblast male newborn	H3K36me3	Histone ChIP-seq	f_1512
1512	ENCFF485JCV	mean	CHIP	eGFP-ZNF184:HEK293 genetically modified using site-specific recombination originated from HEK293	eGFP-ZNF184	TF ChIP-seq	f_1513
1513	ENCFF501YDC	mean	CHIP	H3K9ac:liver male adult (31 year)	H3K9ac	Histone ChIP-seq	f_1514
1514	ENCFF609KBN	mean	CHIP	eGFP-BCL11A:HEK293 genetically modified using site-specific recombination originated from HEK293	eGFP-BCL11A	TF ChIP-seq	f_1515
1515	ENCFF144OXR	mean	CHIP	H3K9me3:natural killer cell male adult (21 year)	H3K9me3	Histone ChIP-seq	f_1516
1516	ENCFF777EIM	mean	CHIP	H2AFZ:neural stem progenitor cell originated from H9	H2AFZ	Histone ChIP-seq	f_1517
1517	ENCFF741JWI	mean	CHIP	eGFP-ZNF623:HEK293 genetically modified using site-specific recombination originated from HEK293	eGFP-ZNF623	TF ChIP-seq	f_1518
1518	ENCFF103YRF	mean	CHIP	H3K27me3:cingulate gyrus male adult (81 year)	H3K27me3	Histone ChIP-seq	f_1519
1519	ENCFF640DMT	mean	CHIP	H3K4me1:heart right ventricle male child (3 years)	H3K4me1	Histone ChIP-seq	f_1520
1520	ENCFF911ZOQ	mean	CHIP	H3K4me1:skeletal muscle satellite cell female adult originated from mesodermal cell	H3K4me1	Histone ChIP-seq	f_1521
1521	ENCFF559WKE	mean	CHIP	EGR1:K562	EGR1	TF ChIP-seq	f_1522
1522	ENCFF162QDX	mean	CHIP	H3K36me3:colonic mucosa female adult (56 years)	H3K36me3	Histone ChIP-seq	f_1523
1523	ENCFF656AYV	mean	CHIP	HDAC3:K562	HDAC3	TF ChIP-seq	f_1524
1524	ENCFF846QJB	mean	CHIP	H3K9me3:gastroesophageal sphincter female adult (53 years)	H3K9me3	Histone ChIP-seq	f_1525
1525	ENCFF046ZOY	mean	CHIP	POLR2A:suprapubic skin female adult (51 year)	POLR2A	TF ChIP-seq	f_1526
1526	ENCFF413JBK	mean	CHIP	H3K4me1:foreskin keratinocyte male newborn	H3K4me1	Histone ChIP-seq	f_1527
1527	ENCFF976WZF	mean	CHIP	CTCF:upper lobe of left lung male adult (37 years)	CTCF	TF ChIP-seq	f_1528
1528	ENCFF455RLT	mean	CHIP	CTCF:OCI-LY7	CTCF	TF ChIP-seq	f_1529
1529	ENCFF947AXY	mean	CHIP	ZFX:C4-2B	ZFX	TF ChIP-seq	f_1530
1530	ENCFF731PVG	mean	CHIP	eGFP-ZNF26:HEK293 genetically modified using site-specific recombination originated from HEK293	eGFP-ZNF26	TF ChIP-seq	f_1531
1531	ENCFF535TPQ	mean	CHIP	H3K27me3:neurosphere female embryo (17 weeks) originated from ganglionic eminence	H3K27me3	Histone ChIP-seq	f_1532
1532	ENCFF017WTF	mean	CHIP	ZNF592:MCF-7	ZNF592	TF ChIP-seq	f_1533
1533	ENCFF592FPI	mean	CHIP	H3K27ac:heart right ventricle male child (3 years)	H3K27ac	Histone ChIP-seq	f_1534
1534	ENCFF468HHO	mean	CHIP	H3K27ac:placenta embryo (16 weeks)	H3K27ac	Histone ChIP-seq	f_1535
1535	ENCFF481PMC	mean	CHIP	ATF3:K562	ATF3	TF ChIP-seq	f_1536
1536	ENCFF158LCC	mean	CHIP	CTCF:spleen male adult (54 years)	CTCF	TF ChIP-seq	f_1537
1537	ENCFF866XWN	mean	CHIP	ARNT:HepG2	ARNT	TF ChIP-seq	f_1538
1538	ENCFF910ZUF	mean	CHIP	FOXP1:HepG2	FOXP1	TF ChIP-seq	f_1539
1539	ENCFF226ZWP	mean	CHIP	DACH1:K562	DACH1	TF ChIP-seq	f_1540
1540	ENCFF605DZE	mean	CHIP	3xFLAG-KDM6A:HepG2 genetically modified using CRISPR	3xFLAG-KDM6A	TF ChIP-seq	f_1541
1541	ENCFF490AFN	mean	CHIP	POLR2A:adrenal gland female adult (53 years)	POLR2A	TF ChIP-seq	f_1542
1542	ENCFF311RLQ	mean	CHIP	POLR2A:K562	POLR2A	TF ChIP-seq	f_1543
1543	ENCFF778OGY	mean	CHIP	XRCC5:HepG2	XRCC5	TF ChIP-seq	f_1544
1544	ENCFF065CFJ	mean	CHIP	H3K4me3:cingulate gyrus male adult (81 year)	H3K4me3	Histone ChIP-seq	f_1545
1545	ENCFF710HLV	mean	CHIP	H3K4me1:subcutaneous abdominal adipose tissue nuclear fraction female adult (81 year)	H3K4me1	Histone ChIP-seq	f_1546
1546	ENCFF225KQB	mean	CHIP	POLR2AphosphoS5:stomach male adult (37 years)	POLR2AphosphoS5	TF ChIP-seq	f_1547
1547	ENCFF817TFH	mean	CHIP	POLR2A:upper lobe of left lung male adult (54 years)	POLR2A	TF ChIP-seq	f_1548
1548	ENCFF869IEP	mean	CHIP	ZNF830:K562	ZNF830	TF ChIP-seq	f_1549
1549	ENCFF521HRT	mean	CHIP	H3K4me3:Parathyroid adenoma male adult (62 years)	H3K4me3	Histone ChIP-seq	f_1550
1550	ENCFF098QMC	mean	CHIP	TARDBP:K562	TARDBP	TF ChIP-seq	f_1551
1551	ENCFF385GLF	mean	CHIP	H3K36me3:hepatocyte originated from H9	H3K36me3	Histone ChIP-seq	f_1552
1552	ENCFF711MPU	mean	CHIP	H3K9me3:iPS-18c female adult (48 years)	H3K9me3	Histone ChIP-seq	f_1553
1553	ENCFF607JRN	mean	CHIP	H3K27ac:Parathyroid adenoma male adult (65 years)	H3K27ac	Histone ChIP-seq	f_1554
1554	ENCFF486EQJ	mean	CHIP	H3K36me3:esophagus male adult (34 years)	H3K36me3	Histone ChIP-seq	f_1555
1555	ENCFF766AYD	mean	CHIP	H3K27ac:breast epithelium female adult (53 years)	H3K27ac	Histone ChIP-seq	f_1556
1556	ENCFF740JWV	mean	CHIP	H4K5ac:mesendoderm originated from H1-hESC	H4K5ac	Histone ChIP-seq	f_1557
1557	ENCFF958QFI	mean	CHIP	H3K4me1:trophoblast cell originated from H1-hESC	H3K4me1	Histone ChIP-seq	f_1558
1558	ENCFF244LXR	mean	CHIP	H3K9me3:pancreas male adult (34 years)	H3K9me3	Histone ChIP-seq	f_1559
1559	ENCFF721VWV	mean	CHIP	H3K9me3:stomach smooth muscle male adult (59 years)	H3K9me3	Histone ChIP-seq	f_1560
1560	ENCFF539YKP	mean	CHIP	H3K4me3:spinal cord female embryo (113 days)	H3K4me3	Histone ChIP-seq	f_1561
1561	ENCFF889OOM	mean	CHIP	H3K4me1:Loucy	H3K4me1	Histone ChIP-seq	f_1562
1562	ENCFF542YUX	mean	CHIP	H3K56ac:mesendoderm originated from H1-hESC	H3K56ac	Histone ChIP-seq	f_1563
1563	ENCFF561BGB	mean	CHIP	H3K4me1:endodermal cell originated from HUES64	H3K4me1	Histone ChIP-seq	f_1564
1564	ENCFF832QFE	mean	CHIP	H3K27me3:ovary female adult (30 years)	H3K27me3	Histone ChIP-seq	f_1565
1565	ENCFF847VYT	mean	CHIP	SMAD1:K562	SMAD1	TF ChIP-seq	f_1566
1566	ENCFF967TUN	mean	CHIP	CTCF:suprapubic skin male adult (54 years)	CTCF	TF ChIP-seq	f_1567
1567	ENCFF745YIN	mean	CHIP	GABPA:liver male adult (32 years)	GABPA	TF ChIP-seq	f_1568
1568	ENCFF337KXY	mean	CHIP	H3K27me3:common myeloid progenitor, CD34-positive	H3K27me3	Histone ChIP-seq	f_1569
1569	ENCFF475YJV	mean	CHIP	H2AK9ac:IMR-90	H2AK9ac	Histone ChIP-seq	f_1570
1570	ENCFF994ANB	mean	CHIP	H3K36me3:trophoblast cell originated from H1-hESC	H3K36me3	Histone ChIP-seq	f_1571
1571	ENCFF770CZV	mean	CHIP	MCM7:K562	MCM7	TF ChIP-seq	f_1572
1572	ENCFF367UUW	mean	CHIP	eGFP-GABPA:MCF-7 genetically modified using stable transfection	eGFP-GABPA	TF ChIP-seq	f_1573
1573	ENCFF357JHD	mean	CHIP	ZNF444:MCF-7	ZNF444	TF ChIP-seq	f_1574
1574	ENCFF757GDD	mean	CHIP	POLR2A:stomach female adult (51 year)	POLR2A	TF ChIP-seq	f_1575
1575	ENCFF040ICX	mean	CHIP	H3K36me3:neurosphere female embryo (17 weeks) originated from cortex	H3K36me3	Histone ChIP-seq	f_1576
1576	ENCFF390VRQ	mean	CHIP	H3K4ac:IMR-90	H3K4ac	Histone ChIP-seq	f_1577
1577	ENCFF967TET	mean	CHIP	H3K4me1:layer of hippocampus male adult (81 year)	H3K4me1	Histone ChIP-seq	f_1578
1578	ENCFF931NXG	mean	CHIP	RFX1:K562	RFX1	TF ChIP-seq	f_1579
1579	ENCFF328RKQ	mean	CHIP	H3K27ac:T-helper 17 cell treated with phorbol 13-acetate 12-myristate , ionomycin	H3K27ac	Histone ChIP-seq	f_1580
1580	ENCFF569CSW	mean	CHIP	SRF:GM12878	SRF	TF ChIP-seq	f_1581
1581	ENCFF894TNN	mean	CHIP	eGFP-SALL1:HEK293 genetically modified using site-specific recombination originated from HEK293	eGFP-SALL1	TF ChIP-seq	f_1582
1582	ENCFF597ZGD	mean	CHIP	H3K4me3:cerebellum male adult (53 years)	H3K4me3	Histone ChIP-seq	f_1583
1583	ENCFF020WCV	mean	CHIP	H3K36me3:middle frontal area 46 male adult (81 year)	H3K36me3	Histone ChIP-seq	f_1584
1584	ENCFF640UBB	mean	CHIP	H3K27me3:sigmoid colon male adult (34 years)	H3K27me3	Histone ChIP-seq	f_1585
1585	ENCFF784OCR	mean	CHIP	SNIP1:MCF-7	SNIP1	TF ChIP-seq	f_1586
1586	ENCFF153LTQ	mean	CHIP	H3K27me3:CD4-positive, alpha-beta T cell	H3K27me3	Histone ChIP-seq	f_1587
1587	ENCFF657WHR	mean	CHIP	H3K9me3:CD8-positive, alpha-beta memory T cell	H3K9me3	Histone ChIP-seq	f_1588
1588	ENCFF029GLM	mean	CHIP	eGFP-SALL2:HEK293 genetically modified using site-specific recombination originated from HEK293	eGFP-SALL2	TF ChIP-seq	f_1589
1589	ENCFF431NKO	mean	CHIP	H3K9me3:trophoblast cell originated from H1-hESC	H3K9me3	Histone ChIP-seq	f_1590
1590	ENCFF958RRJ	mean	CHIP	H3K4me2:neural cell	H3K4me2	Histone ChIP-seq	f_1591
1591	ENCFF773MPY	mean	CHIP	H3K4me3:common myeloid progenitor, CD34-positive	H3K4me3	Histone ChIP-seq	f_1592
1592	ENCFF162UNP	mean	CHIP	EZH2:GM23338 male adult (53 years) originated from GM23248	EZH2	TF ChIP-seq	f_1593
1593	ENCFF604ZUW	mean	CHIP	EZH2:HCT116	EZH2	TF ChIP-seq	f_1594
1594	ENCFF329YTM	mean	CHIP	EP300:testis male adult (37 years)	EP300	TF ChIP-seq	f_1595
1595	ENCFF087SPC	mean	CHIP	H3K27me3:placental basal plate female embryo (40 weeks)	H3K27me3	Histone ChIP-seq	f_1596
1596	ENCFF064LQT	mean	CHIP	ATF2:HepG2	ATF2	TF ChIP-seq	f_1597
1597	ENCFF830DPZ	mean	CHIP	EP300:omental fat pad male adult (54 years)	EP300	TF ChIP-seq	f_1598
1598	ENCFF998ZUC	mean	CHIP	TAF15:K562	TAF15	TF ChIP-seq	f_1599
1599	ENCFF010NMW	mean	CHIP	H3K56ac:H9	H3K56ac	Histone ChIP-seq	f_1600
1600	ENCFF590LKJ	mean	CHIP	H3K36me3:muscle layer of colon female adult (77 years)	H3K36me3	Histone ChIP-seq	f_1601
1601	ENCFF376KWR	mean	CHIP	H3K4me1:foreskin melanocyte male newborn	H3K4me1	Histone ChIP-seq	f_1602
1602	ENCFF722ASP	mean	CHIP	H3K4me1:trophoblast female embryo (20 weeks)	H3K4me1	Histone ChIP-seq	f_1603
1603	ENCFF589BOI	mean	CHIP	FUS:K562	FUS	TF ChIP-seq	f_1604
1604	ENCFF500LDJ	mean	CHIP	H3K4me1:middle frontal area 46 male adult (81 year)	H3K4me1	Histone ChIP-seq	f_1605
1605	ENCFF322YEU	mean	CHIP	NFATC3:K562	NFATC3	TF ChIP-seq	f_1606
1606	ENCFF786NJZ	mean	CHIP	H3K79me2:B cell female adult (27 years)	H3K79me2	Histone ChIP-seq	f_1607
1607	ENCFF521VPM	mean	CHIP	PCBP1:K562	PCBP1	TF ChIP-seq	f_1608
1608	ENCFF981FNN	mean	CHIP	H3K4me3:DOHH2	H3K4me3	Histone ChIP-seq	f_1609
1609	ENCFF244ONW	mean	CHIP	H3K9me3:adrenal gland male adult (37 years)	H3K9me3	Histone ChIP-seq	f_1610
1610	ENCFF627OFU	mean	CHIP	H3K27ac:urinary bladder male adult (34 years)	H3K27ac	Histone ChIP-seq	f_1611
1611	ENCFF771KZZ	mean	CHIP	3xFLAG-RAD21:HepG2 genetically modified using CRISPR	3xFLAG-RAD21	TF ChIP-seq	f_1612
1612	ENCFF575ZQY	mean	CHIP	H2BK20ac:IMR-90	H2BK20ac	Histone ChIP-seq	f_1613
1613	ENCFF029WKN	mean	CHIP	H3K4me1:muscle layer of duodenum male adult (73 years)	H3K4me1	Histone ChIP-seq	f_1614
1614	ENCFF530IRV	mean	CHIP	H3K36me3:mucosa of rectum female adult (61 year)	H3K36me3	Histone ChIP-seq	f_1615
1615	ENCFF458VHN	mean	CHIP	POLR2A:body of pancreas male adult (37 years)	POLR2A	TF ChIP-seq	f_1616
1616	ENCFF224YHG	mean	CHIP	H3K9me3:IMR-90	H3K9me3	Histone ChIP-seq	f_1617
1617	ENCFF058NKU	mean	CHIP	H3K9ac:MCF-7	H3K9ac	Histone ChIP-seq	f_1618
1618	ENCFF726VVG	mean	CHIP	H3K27me3:esophagus squamous epithelium female adult (53 years)	H3K27me3	Histone ChIP-seq	f_1619
1619	ENCFF605ROH	mean	CHIP	H3K14ac:H1-hESC	H3K14ac	Histone ChIP-seq	f_1620
1620	ENCFF003DXG	mean	CHIP	H3K4me3:GM12878	H3K4me3	Histone ChIP-seq	f_1621
1621	ENCFF368UUK	mean	CHIP	H2AFZ:MCF-7	H2AFZ	Histone ChIP-seq	f_1622
1622	ENCFF797WZE	mean	CHIP	H3K4me3:angular gyrus female adult (75 years)	H3K4me3	Histone ChIP-seq	f_1623
1623	ENCFF949PZX	mean	CHIP	H3K9me3:muscle layer of duodenum male adult (59 years)	H3K9me3	Histone ChIP-seq	f_1624
1624	ENCFF242BZH	mean	CHIP	H3K9me3:esophagus squamous epithelium female adult (53 years)	H3K9me3	Histone ChIP-seq	f_1625
1625	ENCFF605JJH	mean	CHIP	H3K9ac:substantia nigra female adult (75 years)	H3K9ac	Histone ChIP-seq	f_1626
1626	ENCFF981CZJ	mean	CHIP	H3K27me3:neutrophil	H3K27me3	Histone ChIP-seq	f_1627
1627	ENCFF014VAP	mean	CHIP	H3K9ac:Karpas-422	H3K9ac	Histone ChIP-seq	f_1628
1628	ENCFF556MMP	mean	CHIP	H3K27ac:ACC112	H3K27ac	Histone ChIP-seq	f_1629
1629	ENCFF583VZK	mean	CHIP	H3K4me1:OCI-LY7	H3K4me1	Histone ChIP-seq	f_1630
1630	ENCFF293HQH	mean	CHIP	H3K36me3:common myeloid progenitor, CD34-positive male adult (42 years)	H3K36me3	Histone ChIP-seq	f_1631
1631	ENCFF067WTK	mean	CHIP	NANOG:GM23338 male adult (53 years) originated from GM23248	NANOG	TF ChIP-seq	f_1632
1632	ENCFF718SOR	mean	CHIP	H3K9ac:endocrine pancreas male adult (46 years)	H3K9ac	Histone ChIP-seq	f_1633
1633	ENCFF574SCO	mean	CHIP	H3K27me3:duodenal mucosa male adult (59 years)	H3K27me3	Histone ChIP-seq	f_1634
1634	ENCFF121SET	mean	CHIP	HSF1:MCF-7	HSF1	TF ChIP-seq	f_1635
1635	ENCFF325LPL	mean	CHIP	H3K23me2:H9	H3K23me2	Histone ChIP-seq	f_1636
1636	ENCFF818IGJ	mean	CHIP	H3K4me1:thyroid gland female adult (53 years)	H3K4me1	Histone ChIP-seq	f_1637
1637	ENCFF827BUN	mean	CHIP	RFX5:A549	RFX5	TF ChIP-seq	f_1638
1638	ENCFF847IWJ	mean	CHIP	H3K4me1:germinal matrix male embryo (20 weeks)	H3K4me1	Histone ChIP-seq	f_1639
1639	ENCFF678FKJ	mean	CHIP	H3K4me1:mesenchymal stem cell originated from H1-hESC	H3K4me1	Histone ChIP-seq	f_1640
1640	ENCFF055YXU	mean	CHIP	H3K4me1:urinary bladder male adult (34 years)	H3K4me1	Histone ChIP-seq	f_1641
1641	ENCFF085LTS	mean	CHIP	eGFP-KLF17:HEK293 genetically modified using site-specific recombination originated from HEK293	eGFP-KLF17	TF ChIP-seq	f_1642
1642	ENCFF653DDA	mean	CHIP	CHAMP1:K562	CHAMP1	TF ChIP-seq	f_1643
1643	ENCFF383WLC	mean	CHIP	H3K9me3:aorta male adult (34 years)	H3K9me3	Histone ChIP-seq	f_1644
1644	ENCFF596ZSJ	mean	CHIP	CTCF:bipolar neuron originated from GM23338 treated with 0.5 ug/mL doxycycline hyclate for 4 days	CTCF	TF ChIP-seq	f_1645
1645	ENCFF348LLH	mean	CHIP	FOXA2:HepG2	FOXA2	TF ChIP-seq	f_1646
1646	ENCFF793QFH	mean	CHIP	HNRNPH1:HepG2	HNRNPH1	TF ChIP-seq	f_1647
1647	ENCFF751QZF	mean	CHIP	CTCF:right atrium auricular region female adult (53 years)	CTCF	TF ChIP-seq	f_1648
1648	ENCFF626DKO	mean	CHIP	H3K27ac:placental basal plate male embryo (38 weeks)	H3K27ac	Histone ChIP-seq	f_1649
1649	ENCFF534CCF	mean	CHIP	RFX1:MCF-7	RFX1	TF ChIP-seq	f_1650
1650	ENCFF601KKI	mean	CHIP	H3K4me1:lung female embryo (82 days)	H3K4me1	Histone ChIP-seq	f_1651
1651	ENCFF469RQU	mean	CHIP	H3K36me3:iPS DF 19.11 male newborn	H3K36me3	Histone ChIP-seq	f_1652
1652	ENCFF866DHV	mean	CHIP	CHD2:A549	CHD2	TF ChIP-seq	f_1653
1653	ENCFF893NOP	mean	CHIP	H3K27me3:heart right ventricle male adult (34 years)	H3K27me3	Histone ChIP-seq	f_1654
1654	ENCFF977JAS	mean	CHIP	MCM7:K562	MCM7	TF ChIP-seq	f_1655
1655	ENCFF310WCC	mean	CHIP	POLR2A:upper lobe of left lung female adult (53 years)	POLR2A	TF ChIP-seq	f_1656
1656	ENCFF898WWB	mean	CHIP	EZH2:neural progenitor cell originated from H9	EZH2	TF ChIP-seq	f_1657
1657	ENCFF604LTF	mean	CHIP	H3K27ac:transverse colon male adult (54 years)	H3K27ac	Histone ChIP-seq	f_1658
1658	ENCFF291BYX	mean	CHIP	H3K9me3:cingulate gyrus female adult (75 years)	H3K9me3	Histone ChIP-seq	f_1659
1659	ENCFF651IGX	mean	CHIP	H3K27ac:ascending aorta female adult (53 years)	H3K27ac	Histone ChIP-seq	f_1660
1660	ENCFF621RES	mean	CHIP	H3K9me3:cingulate gyrus male adult (81 year)	H3K9me3	Histone ChIP-seq	f_1661
1661	ENCFF978QZR	mean	CHIP	eGFP-ZNF768:HEK293 genetically modified using site-specific recombination originated from HEK293	eGFP-ZNF768	TF ChIP-seq	f_1662
1662	ENCFF863VDR	mean	CHIP	CTCF:gastrocnemius medialis female adult (51 year)	CTCF	TF ChIP-seq	f_1663
1663	ENCFF583TMU	mean	CHIP	3xFLAG-KMT2B:HepG2 genetically modified using CRISPR	3xFLAG-KMT2B	TF ChIP-seq	f_1664
1664	ENCFF910GAU	mean	CHIP	CTCF:OCI-LY1	CTCF	TF ChIP-seq	f_1665
